file_id,number_of_pages,pdf_location,txt_location,txt_content
104-10062-10005,68,/Users/furkandemir/Desktop/Thesis/pdf_files/61-70/104-10062-10005.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10062-10005.txt,
104-10062-10046,3,/Users/furkandemir/Desktop/Thesis/pdf_files/3/104-10062-10046.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10062-10046.txt,
104-10062-10062,9,/Users/furkandemir/Desktop/Thesis/pdf_files/6-10/104-10062-10062.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10062-10062.txt,
104-10062-10073,6,/Users/furkandemir/Desktop/Thesis/pdf_files/6-10/104-10062-10073.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10062-10073.txt,
104-10062-10227,25,/Users/furkandemir/Desktop/Thesis/pdf_files/21-30/104-10062-10227.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10062-10227.txt,
104-10062-10256,4,/Users/furkandemir/Desktop/Thesis/pdf_files/4/104-10062-10256.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10062-10256.txt,
104-10062-10288,8,/Users/furkandemir/Desktop/Thesis/pdf_files/6-10/104-10062-10288.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10062-10288.txt,
104-10063-10017,3,/Users/furkandemir/Desktop/Thesis/pdf_files/3/104-10063-10017.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10063-10017.txt,
104-10063-10149,4,/Users/furkandemir/Desktop/Thesis/pdf_files/4/104-10063-10149.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10063-10149.txt,
104-10063-10152,4,/Users/furkandemir/Desktop/Thesis/pdf_files/4/104-10063-10152.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10063-10152.txt,
104-10063-10153,4,/Users/furkandemir/Desktop/Thesis/pdf_files/4/104-10063-10153.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10063-10153.txt,
104-10063-10160,3,/Users/furkandemir/Desktop/Thesis/pdf_files/3/104-10063-10160.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10063-10160.txt,
